loan_id,disbursal_month,disbursal_date,segment,city_tier,loan_amount,tenure_months,interest_rate,bureau_risk_score,is_bad_vintage
L1001,2025-01,2025-01-01,Salaried,Tier 3,109430,36,16.18,817,False
L1002,2025-01,2025-01-01,Salaried,Tier 2,63443,36,11.72,642,False
L1003,2025-01,2025-01-01,Self-Employed,Tier 3,72573,12,17.98,632,False
L1004,2025-01,2025-01-01,Salaried,Tier 1,90666,36,12.96,641,False
L1005,2025-01,2025-01-01,Salaried,Tier 1,133969,36,15.52,659,False
L1006,2025-01,2025-01-01,Self-Employed,Tier 2,102510,12,12.18,754,False
L1007,2025-01,2025-01-01,Self-Employed,Tier 3,71992,12,13.92,765,False
L1008,2025-01,2025-01-01,Salaried,Tier 2,123906,36,21.05,713,False
L1009,2025-01,2025-01-01,Salaried,Tier 2,96265,24,17.46,503,False
L1010,2025-01,2025-01-01,Salaried,Tier 3,24649,48,17.78,586,False
L1011,2025-01,2025-01-01,Self-Employed,Tier 1,59727,24,17.17,537,False
L1012,2025-01,2025-01-01,Salaried,Tier 3,44701,12,19.92,744,False
L1013,2025-01,2025-01-01,Salaried,Tier 3,69692,48,11.65,735,False
L1014,2025-01,2025-01-01,Salaried,Tier 2,104281,24,15.26,797,False
L1015,2025-01,2025-01-01,Salaried,Tier 3,44755,48,15.39,778,False
L1016,2025-01,2025-01-01,Self-Employed,Tier 2,42775,36,16.46,737,False
L1017,2025-01,2025-01-01,Salaried,Tier 2,100841,36,14.19,818,False
L1018,2025-01,2025-01-01,Salaried,Tier 2,85483,36,11.83,593,False
L1019,2025-01,2025-01-01,Self-Employed,Tier 1,117105,36,17.85,681,False
L1020,2025-01,2025-01-01,Salaried,Tier 1,94072,36,13.19,734,False
L1021,2025-01,2025-01-01,Self-Employed,Tier 3,117462,48,13.79,709,False
L1022,2025-01,2025-01-01,Salaried,Tier 3,66778,12,14.84,647,False
L1023,2025-01,2025-01-01,Salaried,Tier 1,128212,12,14.7,653,False
