loan_id,disbursal_month,snapshot_month,mob,dpd_bucket
L1001,2025-01,2025-02,1,Current
L1001,2025-01,2025-03,2,Current
L1001,2025-01,2025-04,3,Current
L1001,2025-01,2025-05,4,Current
L1001,2025-01,2025-06,5,Current
L1001,2025-01,2025-07,6,Current
L1001,2025-01,2025-08,7,Current
L1001,2025-01,2025-09,8,Current
L1001,2025-01,2025-10,9,Current
L1001,2025-01,2025-11,10,Current
L1001,2025-01,2025-12,11,Current
L1001,2025-01,2026-01,12,Current
L1001,2025-01,2026-02,13,Current
L1001,2025-01,2026-03,14,Current
L1001,2025-01,2026-04,15,Current
L1001,2025-01,2026-05,16,Current
L1001,2025-01,2026-06,17,Current
L1002,2025-01,2025-02,1,Current
L1002,2025-01,2025-03,2,Current
L1002,2025-01,2025-04,3,Current
L1002,2025-01,2025-05,4,Current
L1002,2025-01,2025-06,5,Current
L1002,2025-01,2025-07,6,Current
L1002,2025-01,2025-08,7,Current
L1002,2025-01,2025-09,8,Current
L1002,2025-01,2025-10,9,Current
L1002,2025-01,2025-11,10,Current
L1002,2025-01,2025-12,11,Current
L1002,2025-01,2026-01,12,Current
L1002,2025-01,2026-02,13,Current
L1002,2025-01,2026-03,14,Current
L1002,2025-01,2026-04,15,Current
L1002,2025-01,2026-05,16,Current
L1002,2025-01,2026-06,17,Current
L1003,2025-01,2025-02,1,Current
L1003,2025-01,2025-03,2,Current
L1003,2025-01,2025-04,3,Current
L1003,2025-01,2025-05,4,Current
L1003,2025-01,2025-06,5,Current
L1003,2025-01,2025-07,6,Current
L1003,2025-01,2025-08,7,Current
L1003,2025-01,2025-09,8,Current
L1003,2025-01,2025-10,9,Current
L1003,2025-01,2025-11,10,Current
L1003,2025-01,2025-12,11,Current
L1003,2025-01,2026-01,12,Current
L1003,2025-01,2026-02,13,Current
L1004,2025-01,2025-02,1,Current
L1004,2025-01,2025-03,2,Current
L1004,2025-01,2025-04,3,Current
L1004,2025-01,2025-05,4,Current
L1004,2025-01,2025-06,5,Current
L1004,2025-01,2025-07,6,Current
L1004,2025-01,2025-08,7,Current
L1004,2025-01,2025-09,8,30 DPD
L1004,2025-01,2025-10,9,30 DPD
L1004,2025-01,2025-11,10,30 DPD
L1004,2025-01,2025-12,11,60 DPD
L1004,2025-01,2026-01,12,60 DPD
L1004,2025-01,2026-02,13,90 DPD
L1004,2025-01,2026-03,14,NPA
L1004,2025-01,2026-04,15,NPA
