loan_id,disbursal_month,snapshot_month,mob,dpd_bucket,is_bad_flag
L1001,2025-01,2025-02,1,Current,0
L1001,2025-01,2025-03,2,Current,0
L1001,2025-01,2025-04,3,Current,0
L1001,2025-01,2025-05,4,Current,0
L1001,2025-01,2025-06,5,Current,0
L1001,2025-01,2025-07,6,Current,0
L1001,2025-01,2025-08,7,Current,0
L1001,2025-01,2025-09,8,Current,0
L1001,2025-01,2025-10,9,Current,0
L1001,2025-01,2025-11,10,Current,0
L1001,2025-01,2025-12,11,Current,0
L1001,2025-01,2026-01,12,Current,0
L1001,2025-01,2026-02,13,Current,0
L1001,2025-01,2026-03,14,Current,0
L1001,2025-01,2026-04,15,Current,0
L1001,2025-01,2026-05,16,Current,0
L1001,2025-01,2026-06,17,Current,0
L1002,2025-01,2025-02,1,Current,0
L1002,2025-01,2025-03,2,Current,0
L1002,2025-01,2025-04,3,Current,0
L1002,2025-01,2025-05,4,Current,0
L1002,2025-01,2025-06,5,Current,0
L1002,2025-01,2025-07,6,Current,0
L1002,2025-01,2025-08,7,Current,0
L1002,2025-01,2025-09,8,Current,0
L1002,2025-01,2025-10,9,Current,0
L1002,2025-01,2025-11,10,Current,0
L1002,2025-01,2025-12,11,Current,0
L1002,2025-01,2026-01,12,Current,0
L1002,2025-01,2026-02,13,Current,0
L1002,2025-01,2026-03,14,Current,0
L1002,2025-01,2026-04,15,Current,0
L1002,2025-01,2026-05,16,Current,0
L1002,2025-01,2026-06,17,Current,0
L1003,2025-01,2025-02,1,Current,0
L1003,2025-01,2025-03,2,Current,0
L1003,2025-01,2025-04,3,Current,0
L1003,2025-01,2025-05,4,Current,0
L1003,2025-01,2025-06,5,Current,0
L1003,2025-01,2025-07,6,Current,0
L1003,2025-01,2025-08,7,Current,0
L1003,2025-01,2025-09,8,Current,0
L1003,2025-01,2025-10,9,Current,0
L1003,2025-01,2025-11,10,Current,0
L1003,2025-01,2025-12,11,Current,0
L1003,2025-01,2026-01,12,Current,0
L1003,2025-01,2026-02,13,Current,0
L1004,2025-01,2025-02,1,Current,0
L1004,2025-01,2025-03,2,Current,0
L1004,2025-01,2025-04,3,Current,0
L1004,2025-01,2025-05,4,Current,0
L1004,2025-01,2025-06,5,Current,0
L1004,2025-01,2025-07,6,Current,0
L1004,2025-01,2025-08,7,Current,0
L1004,2025-01,2025-09,8,30 DPD,0
L1004,2025-01,2025-10,9,30 DPD,0
L1004,2025-01,2025-11,10,30 DPD,0
L1004,2025-01,2025-12,11,60 DPD,1
L1004,2025-01,2026-01,12,60 DPD,1
L1004,2025-01,2026-02,13,90 DPD,1
L1004,2025-01,2026-03,14,NPA,1
L1004,2025-01,2026-04,15,NPA,1
L1004,2025-01,2026-05,16,NPA,1
L1004,2025-01,2026-06,17,NPA,1
L1005,2025-01,2025-02,1,Current,0
L1005,2025-01,2025-03,2,Current,0
L1005,2025-01,2025-04,3,Current,0
L1005,2025-01,2025-05,4,Current,0
L1005,2025-01,2025-06,5,Current,0
L1005,2025-01,2025-07,6,Current,0
L1005,2025-01,2025-08,7,Current,0
L1005,2025-01,2025-09,8,Current,0
L1005,2025-01,2025-10,9,Current,0
L1005,2025-01,2025-11,10,Current,0
L1005,2025-01,2025-12,11,Current,0
L1005,2025-01,2026-01,12,Current,0
L1005,2025-01,2026-02,13,Current,0
L1005,2025-01,2026-03,14,Current,0
L1005,2025-01,2026-04,15,Current,0
L1005,2025-01,2026-05,16,Current,0
L1005,2025-01,2026-06,17,Current,0
L1006,2025-01,2025-02,1,Current,0
L1006,2025-01,2025-03,2,Current,0
L1006,2025-01,2025-04,3,Current,0
L1006,2025-01,2025-05,4,Current,0
L1006,2025-01,2025-06,5,Current,0
L1006,2025-01,2025-07,6,Current,0
L1006,2025-01,2025-08,7,Current,0
L1006,2025-01,2025-09,8,Current,0
L1006,2025-01,2025-10,9,Current,0
L1006,2025-01,2025-11,10,Current,0
L1006,2025-01,2025-12,11,Current,0
L1006,2025-01,2026-01,12,Current,0
L1006,2025-01,2026-02,13,Current,0
L1007,2025-01,2025-02,1,Current,0
L1007,2025-01,2025-03,2,Current,0
L1007,2025-01,2025-04,3,Current,0
L1007,2025-01,2025-05,4,Current,0
L1007,2025-01,2025-06,5,Current,0
L1007,2025-01,2025-07,6,Current,0
L1007,2025-01,2025-08,7,Current,0
L1007,2025-01,2025-09,8,Current,0
L1007,2025-01,2025-10,9,Current,0
L1007,2025-01,2025-11,10,Current,0
L1007,2025-01,2025-12,11,Current,0
L1007,2025-01,2026-01,12,Current,0
L1007,2025-01,2026-02,13,Current,0
L1008,2025-01,2025-02,1,Current,0
L1008,2025-01,2025-03,2,Current,0
L1008,2025-01,2025-04,3,Current,0
L1008,2025-01,2025-05,4,Current,0
L1008,2025-01,2025-06,5,Current,0
L1008,2025-01,2025-07,6,Current,0
L1008,2025-01,2025-08,7,Current,0
L1008,2025-01,2025-09,8,Current,0
L1008,2025-01,2025-10,9,Current,0
L1008,2025-01,2025-11,10,Current,0
L1008,2025-01,2025-12,11,Current,0
L1008,2025-01,2026-01,12,30 DPD,0
L1008,2025-01,2026-02,13,30 DPD,0
L1008,2025-01,2026-03,14,Current,0
L1008,2025-01,2026-04,15,Current,0
L1008,2025-01,2026-05,16,Current,0
L1008,2025-01,2026-06,17,Current,0
L1009,2025-01,2025-02,1,Current,0
L1009,2025-01,2025-03,2,Current,0
L1009,2025-01,2025-04,3,Current,0
L1009,2025-01,2025-05,4,Current,0
L1009,2025-01,2025-06,5,Current,0
L1009,2025-01,2025-07,6,30 DPD,0
L1009,2025-01,2025-08,7,30 DPD,0
L1009,2025-01,2025-09,8,60 DPD,1
L1009,2025-01,2025-10,9,90 DPD,1
L1009,2025-01,2025-11,10,90 DPD,1
L1009,2025-01,2025-12,11,90 DPD,1
L1009,2025-01,2026-01,12,NPA,1
L1009,2025-01,2026-02,13,NPA,1
L1009,2025-01,2026-03,14,NPA,1
L1009,2025-01,2026-04,15,NPA,1
L1009,2025-01,2026-05,16,NPA,1
L1009,2025-01,2026-06,17,NPA,1
L1010,2025-01,2025-02,1,Current,0
L1010,2025-01,2025-03,2,Current,0
L1010,2025-01,2025-04,3,Current,0
L1010,2025-01,2025-05,4,Current,0
L1010,2025-01,2025-06,5,30 DPD,0
L1010,2025-01,2025-07,6,60 DPD,1
L1010,2025-01,2025-08,7,60 DPD,1
L1010,2025-01,2025-09,8,60 DPD,1
L1010,2025-01,2025-10,9,60 DPD,1
L1010,2025-01,2025-11,10,60 DPD,1
L1010,2025-01,2025-12,11,Current,0
L1010,2025-01,2026-01,12,Current,0
L1010,2025-01,2026-02,13,Current,0
L1010,2025-01,2026-03,14,Current,0
L1010,2025-01,2026-04,15,Current,0
L1010,2025-01,2026-05,16,Current,0
L1010,2025-01,2026-06,17,Current,0
L1011,2025-01,2025-02,1,Current,0
L1011,2025-01,2025-03,2,Current,0
L1011,2025-01,2025-04,3,Current,0
L1011,2025-01,2025-05,4,Current,0
L1011,2025-01,2025-06,5,Current,0
L1011,2025-01,2025-07,6,Current,0
L1011,2025-01,2025-08,7,Current,0
L1011,2025-01,2025-09,8,Current,0
L1011,2025-01,2025-10,9,Current,0
L1011,2025-01,2025-11,10,Current,0
L1011,2025-01,2025-12,11,Current,0
L1011,2025-01,2026-01,12,30 DPD,0
L1011,2025-01,2026-02,13,30 DPD,0
L1011,2025-01,2026-03,14,60 DPD,1
L1011,2025-01,2026-04,15,Current,0
L1011,2025-01,2026-05,16,Current,0
L1011,2025-01,2026-06,17,Current,0
L1012,2025-01,2025-02,1,Current,0
L1012,2025-01,2025-03,2,Current,0
L1012,2025-01,2025-04,3,Current,0
L1012,2025-01,2025-05,4,Current,0
L1012,2025-01,2025-06,5,Current,0
L1012,2025-01,2025-07,6,Current,0
L1012,2025-01,2025-08,7,Current,0
L1012,2025-01,2025-09,8,Current,0
L1012,2025-01,2025-10,9,Current,0
L1012,2025-01,2025-11,10,Current,0
L1012,2025-01,2025-12,11,Current,0
L1012,2025-01,2026-01,12,Current,0
L1012,2025-01,2026-02,13,Current,0
L1013,2025-01,2025-02,1,Current,0
L1013,2025-01,2025-03,2,Current,0
L1013,2025-01,2025-04,3,Current,0
L1013,2025-01,2025-05,4,Current,0
L1013,2025-01,2025-06,5,Current,0
L1013,2025-01,2025-07,6,Current,0
L1013,2025-01,2025-08,7,Current,0
L1013,2025-01,2025-09,8,Current,0
L1013,2025-01,2025-10,9,Current,0
L1013,2025-01,2025-11,10,Current,0
L1013,2025-01,2025-12,11,Current,0
L1013,2025-01,2026-01,12,Current,0
L1013,2025-01,2026-02,13,Current,0
L1013,2025-01,2026-03,14,Current,0
L1013,2025-01,2026-04,15,Current,0
L1013,2025-01,2026-05,16,Current,0
L1013,2025-01,2026-06,17,Current,0
L1014,2025-01,2025-02,1,Current,0
L1014,2025-01,2025-03,2,Current,0
L1014,2025-01,2025-04,3,Current,0
L1014,2025-01,2025-05,4,Current,0
L1014,2025-01,2025-06,5,Current,0
L1014,2025-01,2025-07,6,Current,0
L1014,2025-01,2025-08,7,Current,0
L1014,2025-01,2025-09,8,Current,0
L1014,2025-01,2025-10,9,Current,0
L1014,2025-01,2025-11,10,Current,0
L1014,2025-01,2025-12,11,Current,0
L1014,2025-01,2026-01,12,Current,0
L1014,2025-01,2026-02,13,Current,0
L1014,2025-01,2026-03,14,Current,0
L1014,2025-01,2026-04,15,Current,0
L1014,2025-01,2026-05,16,Current,0
L1014,2025-01,2026-06,17,Current,0
L1015,2025-01,2025-02,1,Current,0
L1015,2025-01,2025-03,2,Current,0
L1015,2025-01,2025-04,3,Current,0
L1015,2025-01,2025-05,4,Current,0
L1015,2025-01,2025-06,5,Current,0
L1015,2025-01,2025-07,6,Current,0
L1015,2025-01,2025-08,7,Current,0
L1015,2025-01,2025-09,8,Current,0
L1015,2025-01,2025-10,9,Current,0
L1015,2025-01,2025-11,10,Current,0
L1015,2025-01,2025-12,11,Current,0
L1015,2025-01,2026-01,12,Current,0
L1015,2025-01,2026-02,13,Current,0
L1015,2025-01,2026-03,14,Current,0
L1015,2025-01,2026-04,15,Current,0
L1015,2025-01,2026-05,16,Current,0
L1015,2025-01,2026-06,17,Current,0
L1016,2025-01,2025-02,1,Current,0
L1016,2025-01,2025-03,2,Current,0
L1016,2025-01,2025-04,3,Current,0
L1016,2025-01,2025-05,4,Current,0
L1016,2025-01,2025-06,5,Current,0
L1016,2025-01,2025-07,6,Current,0
L1016,2025-01,2025-08,7,Current,0
L1016,2025-01,2025-09,8,Current,0
L1016,2025-01,2025-10,9,Current,0
L1016,2025-01,2025-11,10,Current,0
L1016,2025-01,2025-12,11,Current,0
L1016,2025-01,2026-01,12,Current,0
L1016,2025-01,2026-02,13,Current,0
L1016,2025-01,2026-03,14,Current,0
L1016,2025-01,2026-04,15,Current,0
L1016,2025-01,2026-05,16,Current,0
L1016,2025-01,2026-06,17,Current,0
L1017,2025-01,2025-02,1,Current,0
L1017,2025-01,2025-03,2,Current,0
L1017,2025-01,2025-04,3,Current,0
L1017,2025-01,2025-05,4,Current,0
L1017,2025-01,2025-06,5,Current,0
L1017,2025-01,2025-07,6,Current,0
L1017,2025-01,2025-08,7,Current,0
L1017,2025-01,2025-09,8,Current,0
L1017,2025-01,2025-10,9,Current,0
L1017,2025-01,2025-11,10,Current,0
L1017,2025-01,2025-12,11,Current,0
L1017,2025-01,2026-01,12,Current,0
L1017,2025-01,2026-02,13,Current,0
L1017,2025-01,2026-03,14,Current,0
L1017,2025-01,2026-04,15,Current,0
L1017,2025-01,2026-05,16,Current,0
L1017,2025-01,2026-06,17,Current,0
L1018,2025-01,2025-02,1,Current,0
L1018,2025-01,2025-03,2,Current,0
L1018,2025-01,2025-04,3,Current,0
L1018,2025-01,2025-05,4,Current,0
L1018,2025-01,2025-06,5,Current,0
L1018,2025-01,2025-07,6,Current,0
L1018,2025-01,2025-08,7,Current,0
L1018,2025-01,2025-09,8,Current,0
L1018,2025-01,2025-10,9,Current,0
L1018,2025-01,2025-11,10,Current,0
L1018,2025-01,2025-12,11,Current,0
L1018,2025-01,2026-01,12,30 DPD,0
L1018,2025-01,2026-02,13,30 DPD,0
L1018,2025-01,2026-03,14,Current,0
L1018,2025-01,2026-04,15,Current,0
L1018,2025-01,2026-05,16,Current,0
L1018,2025-01,2026-06,17,Current,0
L1019,2025-01,2025-02,1,Current,0
L1019,2025-01,2025-03,2,Current,0
L1019,2025-01,2025-04,3,Current,0
L1019,2025-01,2025-05,4,Current,0
L1019,2025-01,2025-06,5,Current,0
L1019,2025-01,2025-07,6,Current,0
L1019,2025-01,2025-08,7,Current,0
